Linux 3.13.0-161-generic (cp-4.shuffle-measure.wisr-pg0.apt.emulab.net) 	04/28/2020 	_x86_64_	(32 CPU)

10:08:55 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:08:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:08:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:08:58 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
10:08:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:09:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:09:01 PM     all      0.00      0.00      0.00      0.03      0.00     99.97
10:09:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:09:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:09:04 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
10:09:05 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
10:09:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:09:07 PM     all      0.00      0.00      0.03      0.09      0.00     99.88
10:09:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:09:09 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
10:09:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:09:11 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
10:09:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:09:13 PM     all      0.06      0.00      0.00      0.06      0.00     99.87
10:09:14 PM     all      1.06      0.00      0.13      0.00      0.00     98.81
10:09:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:09:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:09:17 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
10:09:18 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
10:09:19 PM     all      0.00      0.00      0.03      0.13      0.00     99.84
10:09:20 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
10:09:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:09:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:09:23 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
10:09:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:09:25 PM     all      0.00      0.00      0.03      0.06      0.00     99.91
