Linux 3.13.0-161-generic (cp-1.shuffle-measure.wisr-pg0.apt.emulab.net) 	04/28/2020 	_x86_64_	(32 CPU)

02:11:34 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:11:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:11:36 PM     all      0.00      0.00      0.09      0.00      0.00     99.91
02:11:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:11:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:11:39 PM     all      0.00      0.00      0.00      0.28      0.00     99.72
02:11:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:11:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:11:42 PM     all      0.47      0.00      0.13      0.00      0.00     99.41
02:11:43 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:11:44 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:11:45 PM     all      0.00      0.00      0.00      0.09      0.00     99.91
