Linux 3.13.0-161-generic (cp-4.shuffle-measure.wisr-pg0.apt.emulab.net) 	04/28/2020 	_x86_64_	(32 CPU)

01:43:13 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:43:14 PM     all      0.03      0.00      0.06      0.00      0.00     99.91
01:43:16 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
01:43:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:20 PM     all      0.00      0.00      0.00      0.28      0.00     99.72
01:43:21 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
01:43:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:25 PM     all      0.00      0.00      0.00      0.25      0.00     99.75
01:43:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:29 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
01:43:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:31 PM     all      0.00      0.00      0.03      0.25      0.00     99.72
01:43:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:33 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
01:43:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:35 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
01:43:36 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
01:43:37 PM     all      0.00      0.00      0.03      0.25      0.00     99.72
01:43:38 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
01:43:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:41 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
01:43:42 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
01:43:43 PM     all      0.00      0.00      0.00      0.25      0.00     99.75
01:43:44 PM     all      2.66      0.00      0.03      0.00      0.00     97.31
01:43:45 PM     all      0.16      0.00      0.06      0.00      0.00     99.78
01:43:46 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
01:43:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:48 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
01:43:49 PM     all      0.00      0.00      0.03      0.22      0.00     99.75
01:43:50 PM     all      0.25      0.00      0.03      0.00      0.00     99.72
01:43:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:43:53 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
01:43:54 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
01:43:55 PM     all      0.00      0.00      0.03      0.31      0.00     99.66
01:43:56 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
01:43:57 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
01:43:58 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
