Linux 3.13.0-161-generic (cp-1.shuffle-measure.wisr-pg0.apt.emulab.net) 	04/28/2020 	_x86_64_	(32 CPU)

01:50:28 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:50:29 PM     all      0.00      0.00      0.00      0.31      0.00     99.69
01:50:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:50:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:50:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:50:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:50:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:50:35 PM     all      0.00      0.00      0.03      0.25      0.00     99.72
01:50:36 PM     all      0.47      0.00      0.16      0.00      0.00     99.37
01:50:37 PM     all      0.13      0.00      0.03      0.00      0.00     99.84
01:50:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:50:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
